normalized_road,standard_road
"100TH AV","TENTH ST"
10TH,"TENTH ST"
"10TH AV","TENTH ST"
"10TH ST","TENTH ST"
"13 N","ASHBY AVE"
"13TH AVE","ASHBY AVE"
"1451VIRGINIA ST","VIRGINIA ST"
"24 E","RT 24"
"24 W","RT 24"
2ND,"SECOND ST"
"2ND AV","SECOND ST"
"2ND ST","SECOND ST"
3RD,"THIRD ST"
4TH,"FOURTH ST"
"4TH AV","FOURTH ST"
"4TH ST","FOURTH ST"
"53RD ST","53RD ST"
"55TH ST","55TH ST"
5TH,"FIFTH ST"
"5TH AV","FIFTH ST"
"5TH SQ","FIFTH ST"
"5TH ST","FIFTH ST"
"60TH ST","60TH ST"
61ST,"61ST ST" 
"61ST ST","61ST ST"
62ND,"62ND ST"
"62ND AV","62ND ST"
"62ND ST","62ND ST"
63RD,"63RD ST"
"63RD AV","63RD ST"
"63RD ST","63RD ST"
"65TH ST","65TH ST"
66TH,"66TH ST"
"66TH ST","66TH ST"
67TH,"67TH ST"
"67TH ST","67TH ST"
6TH,"SIXTH ST"
"6TH AV","SIXTH ST"
"6TH ST","SIXTH ST"
7TH,"SEVENTH ST"
"7TH AV","SEVENTH ST"
"7TH SQU","SEVENTH ST"
"7TH ST","SEVENTH ST"
"7TH ST EXT","SEVENTH ST"
"7TH ST N","SEVENTH ST"
"7TH ST W","SEVENTH ST"
"7TH STREET","SEVENTH ST"
"80 E",I-80
"80 W",I-80
8TH,"EIGHTH ST"
"8TH AV","EIGHTH ST"
"8TH ST","EIGHTH ST"
"8TH STREET","EIGHTH ST"
9TH,"NINTH ST"
"9TH AV","NINTH ST"
"9TH ST","NINTH ST"
"ACACIA AV","ACACIA AVE"
"ACACIA AVE","ACACIA AVE"
"ACACIA ST","ACACIA AVE"
ACTION,"ACTON ST"
"ACTION CT","ACTON ST"
"ACTION ST","ACTON ST"
ACTON,"ACTON ST"
"ACTON CI","ACTON CIR"
"ACTON CIR","ACTON CIR"
"ACTON CRESCENT","ACTON CRESCENT"
"ACTON CT","ACTON CRESCENT"
"ACTON ST","ACTON ST"
ADA,"ADA ST"
"ADA ST","ADA ST"
ADALINE,"ADELINE ST"
ADDISON,"ADDISON ST"
"ADDISON AV","ADDISON ST"
"ADDISON ST","ADDISON ST"
"ADDISON ST N","ADDISON ST"
"ADDISON STREET","ADDISON ST"
"ADDISON WY","ADDISON ST"
"ADELAIDE ST","ADELINE ST"
ADELINE,"ADELINE ST"
"ADELINE AV","ADELINE ST"
