case_id,primary_rd,secondary_rd
5414040,"CHANNING WAY","DANA ST"
5911429,"I-80","SIXTH ST"
5911875,"I-80","UNIVERSITY AVE"
5918803,"ALVARADO RD","VICENTE RD"
5942493,"HEARST AVE","EUCLID AVE"
5942501,"GRAYSON ST","SAN PABLO AVE"
5991390,"TELEGRAPH AVE","PARKER ST"
5991398,"OXFORD ST","ADDISON ST"
5991402,"ALCATRAZ AVE","ALCATRAZ AVE"
5991406,"SAN PABLO AVE","UNIVERSITY AVE"
5991414,"FULTON ST","CHANNING WAY"
5991426,"ASHBY AVE","ASHBY AVE"
5991430,"BROWNING ST","ALLSTON WAY"
5991728,"MILVIA ST","CEDAR ST"
5991759,"UNIVERSITY AVE","MARTIN LUTHER KING JR WAY"
5997314,"HEINZ AVE","EIGHTH ST"
5997322,"UNIVERSITY AVE","MARTIN LUTHER KING JR WAY"
5997330,"SAN PABLO AVE","ADDISON ST"
5997334,"SACRAMENTO ST","VIRGINIA ST"
5997338,"OXFORD ST","CENTER ST"
5997342,"SAN PABLO AVE","ASHBY AVE"
5997346,"GLENDALE AVE","LA LOMA AVE"
5997350,"DOMINGO AVE","ASHBY AVE"
5997358,"ASHBY AVE","SHATTUCK AVE"
6002302,"BANCROFT WAY","SIXTH ST"
6003216,"DURANT AVE","BOWDITCH ST"
6003220,"SHATTUCK AVE","PARKER ST"
6003224,"FULTON ST","BLAKE ST"
6003232,"LA LOMA AVE","BUENA VISTA WAY"
6004281,"CALIFORNIA ST","DERBY ST"
6004285,"BANCROFT WAY","ELLSWORTH ST"
6004289,"ASHBY AVE","MABEL ST"
6006408,"SOLANO AVE","COLUSA AVE"
6006412,"SAN PABLO AVE","ADDISON ST"
6006416,"SACRAMENTO ST","ASHBY AVE"
6006420,"HASTE ST","PIEDMONT AVE"
6006431,"RUSSELL ST","CALIFORNIA ST"
6006435,"ADELINE ST","ASHBY AVE"
6006443,"ROSE ST","SPRUCE ST"
6006451,"BANCROFT WAY","MCKINLEY AVE"
6006455,"ALLSTON WAY","SHATTUCK AVE"
6006459,"BANCROFT WAY","FULTON ST"
6006467,"SHATTUCK AVE","KITTREDGE ST"
6006471,"MARTIN LUTHER KING JR WAY","ALLSTON WAY"
6006475,"EUCLID AVE","CRYSTAL WAY"
6006479,"GILMAN ST","FIFTH ST"
6008206,"FULTON ST","KITTREDGE ST"
6010091,"COLLEGE AVE","WEBSTER ST"
6010138,"CHANNING WAY","BOWDITCH ST"
6010158,"SHATTUCK AVE","LINCOLN ST"
6039461,"SHATTUCK AVE","DURANT AVE"
6039473,"EIGHTH ST","CAMELIA ST"
6052739,"COLLEGE AVE","ALCATRAZ AVE"
6054555,"MARTIN LUTHER KING JR WAY","CARLETON ST"
6056642,"UNIVERSITY AVE","SEVENTH ST"
6056662,"GILMAN ST","FRONTAGE RD"
6056665,"ROSE ST","OXFORD ST"
