id,primary_rd,secondary_rd,date_completed,improvement_type
1,HOPKINS,THE ALAMEDA,2016-12-20,1
2,CEDAR,NINTH,2020-01-01,2
3,ASHBY,ELLIS,2012-01-01,5
4,HILLEGASS,ASHBY,2018-01-01,6
5,STANNAGE,CEDAR,2015-01-01,7
6,CURTIS,CEDAR,2015-01-01,7
7,COLLEGE,GARBER,2016-01-01,5
8,CLAREMONT AVE,CLAREMONT CRESCENT,2019-01-01,5
9,CLAREMONT AVE,CLAREMONT CRESCENT,2019-01-01,7
10,MLK JR WAY,ADDISON,2023-01-01,2
11,MLK JR WAY,DWIGHT WAY,2024-01-01,9
12,MLK JR WAY,BLAKE STREET,2024-01-01,2
13,MLK JR WAY,PARKER STREET,2024-01-01,2
14,MLK JR WAY,PARKER STREET,2024-01-01,5
15,MLK JR WAY,CARLETON STREET,2024-01-01,2
16,MLK JR WAY,DERBY STREET,2024-01-01,9
17,MLK JR WAY,WARD STREET,2024-01-01,7
18,MLK JR WAY,STUART STREET,2024-01-01,2
19,MLK JR WAY,STUART STREET,2024-01-01,5
20,MLK JR WAY,OREGON STREET,2024-01-01,2
21,MLK JR WAY,OREGON STREET,2024-01-01,5
22,MLK JR WAY,RUSSEL,2024-01-01,9
23,SACRAMENTO STREET,VIRGINIA,2022-01-01,2
24,SAN PABLO AVE,VIRGINIA,2023-04-20,6
25,SAN PABLO AVE,HEARST STREET,2023-04-20,6
26,SACRAMENTO STREET,OREGON STREET,2019-01-01,5
27,SANTA FE AVE,OHLONE GREENWAY,2021-06-01,7
28,SHATTUCK,VIRGINIA,2012-01-01,7
29,SHATTUCK,VIRGINIA,2012-01-01,5
30,SHATTUCK,WARD,2016-01-01,7
31,SHATTUCK,STUART,2016-01-01,7
32,SHATTUCK,RUSSELL,2016-01-01,7
33,SHATTUCK,OREGON,2016-01-01,5
34,SHATTUCK,CENTER,2020-01-01,10
35,SHATTUCK,RUSSELL,2023-06-01,5
36,SHATTUCK,WOOLSEY,2023-06-01,5
37,UNIVERSITY,7TH,2012-01-01,2
38,UNIVERSITY,8TH,2012-01-01,7
39,UNIVERSITY,SACRAMENTO,2022-01-01,7
