key,county,city
0100,Stanislaus,
0101,Alameda,Alameda
0102,Alameda,Berkeley
0103,Alameda,Berkeley
0104,San Mateo,Menlo Park
0105,Alameda,Fremont
0106,Alameda,Hayward
0107,Alameda,Livermore
0108,Alameda,Newark
0109,Alameda,Oakland
0110,Alameda,Oakland
0111,Alameda,Pleasanton
0112,Alameda,San Leandro
0113,Alameda,Union City
0115,Santa Clara,Milpitas
0198,Alameda,Dublin
0200,Alpine,South Lake Tahoe
0300,Amador,Sutter Creek
0301,Amador,Sutter Creek
0302,Amador,Ione
0303,Amador,Jackson
0304,Amador,Plymouth
0305,Amador,Sutter Creek
0400,Butte,Oroville
0401,Butte,Biggs
0402,Butte,Chico
0403,Butte,Gridley
0404,Butte,Oroville
0405,Butte,Paradise
0500,Calaveras,San Andreas
0501,Calaveras,San Andreas
0600,Colusa,Arbuckle
0601,Colusa,Colusa
0602,Colusa,Williams
0700,Contra Costa,Richmond
0701,San Joaquin,
0702,Contra Costa,Brentwood
0703,Contra Costa,Concord
0704,Contra Costa,Concord
0705,Contra Costa,El Cerrito
0706,Contra Costa,Pinole
0707,Contra Costa,Pinole
0708,San Joaquin,Stockton
0709,Contra Costa,Pleasant Hill
0710,Contra Costa,Richmond
0711,San Mateo,
0712,Contra Costa,Lafayette
0713,Alameda,Oakland
0714,Contra Costa,Martinez
0715,Contra Costa,Lafayette
0716,Contra Costa,Orinda
0734,Contra Costa,Oakley
0790,Contra Costa,Danville
0791,Contra Costa,San Ramon
0792,Contra Costa,Orinda
0800,Del Norte,Crescent City
0801,Del Norte,Crescent City
0900,El Dorado,El Dorado Hills
0901,Merced,Los Banos
0902,El Dorado,South Lake Tahoe
1000,Fresno,Fresno
1001,Fresno,Clovis
1002,Fresno,Coalinga
1003,Fresno,Firebaugh
1004,Fresno,Fowler
1005,Fresno,Fresno
1006,Fresno,Huron
1007,Fresno,Kerman
1008,Fresno,Kingsburg
1009,Fresno,Mendota
1010,Tulare,Visalia
1011,Fresno,Parlier
1012,Fresno,Reedley
1013,Fresno,Sanger
1014,Fresno,San Joaquin
1015,Fresno,Selma
1100,Glenn,Glenn
1101,Glenn,Orland
1102,Colusa,Maxwell
1200,Humboldt,Fortuna
1201,Humboldt,Arcata
1203,Humboldt,Eureka
1204,Humboldt,Fortuna
1205,Humboldt,Fortuna
1206,Humboldt,Trinidad
1207,Humboldt,Rio Dell
1300,Imperial,El Centro
1301,Imperial,Brawley
1302,Imperial,Calexico
1303,Imperial,Calipatria
1304,Imperial,El Centro
1305,Imperial,Holtville
1306,Imperial,Imperial
1400,Inyo,Independence
1401,Inyo,Bishop
1500,Kern,Bakersfield
1501,Kern,Arvin
1502,Kern,Bakersfield
1503,Kern,Delano
1504,Kern,Maricopa
1505,Kern,McFarland
1506,Kern,Ridgecrest
1507,Kern,Bakersfield
1508,Kern,Taft
1509,Kern,Tehachapi
1510,El Dorado,Pilot Hill
1511,Kern,California City
1513,San Bernardino,Chino
1515,Kern,Tehachapi
1600,Kings,Lemoore
1601,Kings,Corcoran
1602,Kings,Hanford
1603,Kings,Lemoore
1690,Kings,Avenal
1700,Lake,Lakeport
1701,Lake,Kelseyville
1702,Lake,Clearlake
1800,Lassen,Milford
1801,Lassen,Susanville
1900,Los Angeles,Pacific Palisades
1901,Ventura,Piru
1902,Los Angeles,Arcadia
1903,Los Angeles,Cerritos
1904,Los Angeles,Avalon
1905,Los Angeles,Azusa
1906,Los Angeles,Baldwin Park
1907,Los Angeles,Bell Gardens
1908,Los Angeles,Long Beach
1909,Los Angeles,Bell Gardens
1910,Kern,Rosamond
1911,Los Angeles,Duarte
1912,Los Angeles,Burbank
1913,Los Angeles,Claremont
1914,Los Angeles,Los Angeles
1915,Los Angeles,Compton
1916,Los Angeles,Covina
1917,Los Angeles,Bell Gardens
1918,Los Angeles,Culver City
1919,Los Angeles,Cerritos
1920,Los Angeles,Downey
1921,Los Angeles,Duarte
1922,Los Angeles,El Monte
1923,Los Angeles,Los Angeles
1924,Los Angeles,Gardena
1925,Los Angeles,Glendale
1926,Los Angeles,Glendora
1927,LosAngeles,Hawaiian Gardens
1928,Los Angeles,South Gate
1929,Los Angeles,Hermosa Beach
1930,Los Angeles,Calabasas
1931,Los Angeles,Huntington Park
1932,Los Angeles,Whittier
1933,Los Angeles,Inglewood
1934,Los Angeles,Baldwin Park
1935,Los Angeles,Paramount
1936,Los Angeles,Santa Fe Springs
1937,Los Angeles,La Puente
1938,Los Angeles,La Verne
1939,Los Angeles,Lawndale
1940,Los Angeles,Lawndale
1941,Los Angeles,Long Beach
1942,Los Angeles,Sherman Oaks
1943,Los Angeles,Lynwood
1944,Los Angeles,Manhattan Beach
1945,Los Angeles,Maywood
1946,Los Angeles,Monrovia
1947,Los Angeles,Montebello
1948,Los Angeles,Alhambra
1949,Los Angeles,Norwalk
1950,Los Angeles,Palmdale
1952,Los Angeles,South Gate
1953,Los Angeles,Mt Wilson
1954,Los Angeles,Pico Rivera
1955,Los Angeles,Valyermo
1956,Los Angeles,Redondo Beach
1957,Los Angeles,Rowland Heights
1958,Los Angeles,Palos Verdes Peninsula
1959,Los Angeles,Rosemead
1960,Los Angeles,La Verne
1961,Los Angeles,Pacoima
1962,Los Angeles,San Gabriel
1963,Los Angeles,San Marino
1964,Los Angeles,Santa Fe Springs
1965,Los Angeles,Santa Monica
1966,Los Angeles,Arcadia
1967,Los Angeles,Long Beach
1968,Los Angeles,Lynwood
1969,Los Angeles,South Gate
1970,Los Angeles,South Pasadena
1971,Los Angeles,San Gabriel
1972,Los Angeles,Gardena
1973,Los Angeles,Los Angeles
1974,Los Angeles,Walnut
1975,Los Angeles,West Covina
1976,Los Angeles,Whittier
1977,Los Angeles,Carson
1979,Los Angeles,Los Angeles
1980,Los Angeles,Rancho Palos Verdes
1985,Los Angeles,Canyon Country
1989,Los Angeles,Agoura Hills
1990,Los Angeles,Diamond Bar
1991,Los Angeles,La Canada Flintridge
1992,Los Angeles,Lancaster
