id,name
A,Violation
E,Vision Obscurements
F,"Inattention (beginning 1/1/01, inattention not stated)"
G,Stop and Go Traffic
H,Entering/Leaving Ramp
I,Previous Collision
J,Unfamiliar With Road
K,Defective Vehicle Equipment
L,Uninvolved Vehicle
M,Other
N,None Apparent
O,Runaway Vehicle
P,"Inattention, Cell Phone (1/1/01)"
Q,"Inattention, Electronic Equip.(1/1/01)"
R,"Inattention, Radio/CD (1/1/01)"
S,"Inattention, Smoking (1/1/01)"
T,"Inattention, Eating (1/1/01)"
U,"Inattention, Children (1/1/01)"
V,"Inattention, Animal (1/1/01)"
W,"Inattention, Personal Hygiene (1/1/01)"
X,"Inattention, Reading (1/1/01)"
Y,"Inattention, Other (1/1/01)"
-,Not Stated
