id,name
1,Driver
2,Passengers
3,Passengers
4,Passengers
5,Passengers
6,Passengers
7,Station Wagon Rear
8,Rear Occupant of Truck or Van
9,Position Unknown
0,Other Occupants
A,Bus Occupants
B,Bus Occupants
C,Bus Occupants
D,Bus Occupants
E,Bus Occupants
F,Bus Occupants
G,Bus Occupants
H,Bus Occupants
I,Bus Occupants
J,Bus Occupants
K,Bus Occupants
L,Bus Occupants
M,Bus Occupants
N,Bus Occupants
O,Bus Occupants
P,Bus Occupants
Q,Bus Occupants
R,Bus Occupants
S,Bus Occupants
T,Bus Occupants
U,Bus Occupants
V,Bus Occupants
W,Bus Occupants
X,Bus Occupants
Y,Bus Occupants
Z,Bus Occupants
-,Not Stated
